ID	County	City	Type
809271	71	81344	HV
809273	71	81344	ML
809285	71	81344	HV
809287	71	81344	ML
809293	71	13756	HV
809294	71	13756	ML
809300	71	13756	HV
809301	71	13756	ML
809307	71	13756	HV
809308	71	13756	ML
809320	71	13756	HV
809322	71	13756	ML
809334	71	13756	HV
809336	71	13756	ML
809342	71	13756	HV
809343	71	13756	ML
809485	71	53896	ML
809498	71	59451	ML
809912	71	13210	ML
809925	71	13210	HV
809952	71	13210	ML
809953	71	13210	HV
809960	71	13210	ML
809961	71	13210	HV
809968	71	13210	ML
809969	71	13210	HV
809977	71	53896	ML
809978	71	53896	HV
809986	71	53896	ML
809987	71	53896	HV
810124	71	59451	ML
810131	71	59451	ML
810143	71	24680	ML
810165	71	24680	ML
810190	71	59451	ML
810210	71	24680	ML
810230	71	24680	ML
810245	71	24680	ML
810259	71	24680	ML
810266	71	59451	ML
810273	71	59451	ML
810280	71	59451	ML
810316	65	49270	ML
810345	71	53896	HV
810369	65	49270	HV
810370	65	62000	HV
810371	65	49270	HV
810372	65	49270	HV
810373	65	49270	HV
810379	65	62000	HV
810380	65	62000	HV
810381	65	49270	HV
810382	65	49270	HV
812586	71	ML
812588	71	ML
812590	71	HV
812601	71	13210	ML
812602	71	13210	HV
812609	71	13210	ML
812610	71	13210	HV
812648	71	13210	ML
812649	71	13210	HV
812651	71	13210	ML
812652	71	13210	HV
812654	71	13210	ML
812655	71	13210	HV
812657	71	13210	ML
812658	71	13210	HV
812690	71	13214	ML
812704	71	13214	ML
812705	71	13214	HV
812717	71	13214	ML
812730	71	13214	ML
812731	71	13214	HV
812744	71	13214	ML
812745	71	13214	HV
812776	71	13214	ML
812777	71	13214	HV
812788	71	13214	ML
812789	71	13214	HV
812800	71	13214	ML
812801	71	13214	HV
812811	71	13214	ML
812812	71	13214	HV
812821	71	13214	ML
812822	71	13214	HV
812831	71	13214	ML
812832	71	13214	HV
813015	71	24680	HV
813016	71	59451	HV
813017	71	24680	HV
813048	71	53896	ML
813058	71	53896	ML
813068	71	53896	ML
813079	71	53896	ML
813316	71	24680	ML
813333	71	24680	ML
813973	71	60466	ML
813980	71	60466	ML
813993	71	24680	ML
813994	71	24680	HV
813995	71	48648	ML
814010	71	60466	ML
814013	71	60466	HV
814027	71	ML
814028	71	HV
814211	71	24680	ML
814216	71	ML
814217	71	HV
814480	71	24680	ML
